,state,2019
0,District of Columbia,200277.0
1,New York,90043.0
2,Massachusetts,86942.0
3,Connecticut,81055.0
4,California,80563.0
5,Washington,80170.0
6,Delaware,78468.0
7,Alaska,76220.0
8,North Dakota,75321.0
9,New Jersey,73451.0
10,Maryland,71838.0
11,Illinois,71727.0
12,Hawaii,69593.0
13,Colorado,68828.0
14,Wyoming,68757.0
15,Minnesota,68427.0
16,Nebraska,66737.0
17,Texas,66149.0
18,New Hampshire,66069.0
20,Virginia,65824.0
21,Pennsylvania,64412.0
22,Iowa,62493.0
23,South Dakota,61104.0
24,Rhode Island,60830.0
25,Oregon,60558.0
26,Ohio,60464.0
27,Wisconsin,60425.0
28,Kansas,60310.0
29,Georgia,58896.0
30,Nevada,58570.0
31,Louisiana,57445.0
32,North Carolina,56862.0
33,Indiana,56702.0
34,Vermont,56525.0
35,Tennessee,56451.0
36,Michigan,54928.0
37,Missouri,54879.0
38,Oklahoma,52409.0
39,Florida,51745.0
40,Arizona,51179.0
41,Maine,50915.0
42,New Mexico,50022.0
43,Utah,49892.0
44,Montana,49540.0
45,Kentucky,48697.0
46,South Carolina,48547.0
47,Alabama,47735.0
48,Idaho,46043.0
49,West Virginia,43806.0
50,Arkansas,44808.0
51,Mississippi,40464.0
